college_name,location,best_suit_for,fees,placement,type
IMI - International Management Institute,"New Delhi, Delhi NCR",MBA/PGDM,"₹ 22,00,000","₹ 70,95,000",Private
Amity School of Architecture and Planning,"Noida, Uttar Pradesh",B.Arch,"₹ 2,79,000","₹ 17,00,000",Private
FORE School of Management - [FSM],"New Delhi, Delhi NCR",MBA/PGDM,"₹ 20,77,000","₹ 29,00,000",Private
Shivaji College,"New Delhi, Delhi NCR",BA,"₹ 20,570","₹ 24,00,000",Government
University School of Law and Legal Studies - [USLLS],"New Delhi, Delhi NCR",BA/BBA LLB,"₹ 1,67,500",,Government
"Delhi School of Economics, University of Delhi - [DSE]","New Delhi, Delhi NCR",MA,"₹ 11,751","₹ 26,50,000",Government
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],"Meerut, Uttar Pradesh",BHM,"₹ 95,000","₹ 4,20,000",Government
Institute of Hotel Management -[IHM],"Faridabad, Haryana",BHM,"₹ 1,28,915",,Government
"University of Delhi, Department of Financial Studies - [DFS]","New Delhi, Delhi NCR",MBA/PGDM,"₹ 48,500","₹ 32,00,000",Government
Jamia Hamdard University,"New Delhi, Delhi NCR",B.Sc,"₹ 1,15,000","₹ 32,00,000",Government
"Department of Business Economics, University of Delhi - [DBE]","New Delhi, Delhi NCR",BBA/BMS,"₹ 49,850","₹ 24,80,000",Government
Zakir Husain Delhi College,"New Delhi, Delhi NCR",BA,"₹ 19,273",,Government
Dyal Singh Evening College - [DSEC],"New Delhi, Delhi NCR",BA,"₹ 14,700",,Government
World University of Design - [WUD],"Sonepat, Haryana",B.Des,"₹ 3,20,000","₹ 12,50,000",Private
Birla Institute of Management Technology - [BIMTECH],"Greater Noida, Uttar Pradesh",MBA/PGDM,"₹ 14,00,000","₹ 24,43,000",Private
Motilal Nehru College (Evening),"New Delhi, Delhi NCR",BA,"₹ 12,290",,Government
Post Graduate Institute of Medical Education & Research - [PGIMER],"Chandigarh, Chandigarh",Bachelor of Physiotherapy(BPT),"₹ 3,030",,Government
MDI Gurgaon,"Gurgaon, Haryana",Executive MBA,"₹ 16,70,000","₹ 53,60,000",Private
Government Medical College and Hospital - [GMCH],"Chandigarh, Chandigarh",MBBS,"₹ 25,000",,Government
"O.P. Jindal Global University, Jindal Global Law School - [JGLS]","Sonepat, Haryana",BA/BBA LLB,"₹ 7,00,000",,Private
XLRI - Xavier School Of Management Delhi-NCR Campus,"Jhajjar, Haryana",MBA/PGDM,"₹ 25,90,000","₹ 75,00,000",Private
IIM Rohtak Indian Institute of Management,"Rohtak, Haryana",BBA/BMS,"₹ 6,76,045","₹ 36,00,000",Government
Masters' Union,"Gurgaon, Haryana",MBA/PGDM,"₹ 34,00,384","₹ 61,80,000",Private
Punjab Engineering College University of Technology - [PEC],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 2,07,000","₹ 52,00,000",Government
Panjab University - [PU],"Chandigarh, Chandigarh",BA,"₹ 20,885",,Government
Institute of Hotel Management -[IHM],"Faridabad, Haryana",BHM,"₹ 1,28,915",,Government
National Institute of Technology - [NIT],"Kurukshetra, Haryana",BE/B.Tech,"₹ 1,87,000","₹ 64,28,000",Government
Institute of Hotel Management,"Yamuna Nagar, Haryana",Diploma in Hotel Management,"₹ 46,700",,Government
Ambala Institute of Hotel Management - [AIHM],"Ambala, Haryana",BHM,"₹ 1,28,915",,Private
World University of Design - [WUD],"Sonepat, Haryana",B.Des,"₹ 3,20,000","₹ 12,50,000",Private
Pandit Bhagwat Dayal Sharma University of Health Sciences,"Rohtak, Haryana",Bachelor of Physiotherapy(BPT),"₹ 24,125",,Government
Dr. B.R. Ambedkar National Law University -[DBRANLU],"Sonepat, Haryana",BA/BBA LLB,"₹ 1,48,500",,Government
SOIL Institute of Management,"Gurgaon, Haryana",MBA/PGDM,"₹ 15,33,226","₹ 20,70,000",Private
Great Lakes Institute of Management - [GLIM],"Gurgaon, Haryana",MBA/PGDM,"₹ 18,08,000","₹ 22,50,000",Private
Indian Institute of Information Technology - [IIIT],"Sonepat, Haryana",BE/B.Tech,"₹ 2,23,965","₹ 40,00,000",Government
ESIC Medical College,"Faridabad, Haryana",MBBS,"₹ 1,00,000",,Government
Pt Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences - [PGIMS],"Rohtak, Haryana",Bachelor of Physiotherapy(BPT),"₹ 12,395",,Government
"LM Thapar School of Management, Derabassi","Chandigarh, Chandigarh",MBA/PGDM,"₹ 6,70,000","₹ 24,81,000",Private
O.P. Jindal Global University - [JGU],"Sonepat, Haryana",M.Phil/Ph.D in Arts,"₹ 70,000","₹ 21,00,000",Private
Kurukshetra University - [KUK],"Kurukshetra, Haryana",BA,"₹ 12,690",,Government
Maharishi Markandeshwar - [MMU],"Ambala, Haryana",MBBS,"₹ 18,83,300","₹ 42,00,000",Private
Gurugram University,"Gurgaon, Haryana",MSW,"₹ 20,470",,Government
Manav Rachna International Institute of Research and Studies - [MRIIRS],"Faridabad, Haryana",BE/B.Tech,"₹ 2,00,500","₹ 32,00,000",Private
University Institute of Engineering and Technology -[UIET],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,34,860","₹ 25,00,000",Government
Maharshi Dayanand University - [MDU],"Rohtak, Haryana",MA,"₹ 4,962",,Government
Deenbandhu Chhotu Ram University of Science and Technology - [DCRUST],"Sonepat, Haryana",BE/B.Tech,"₹ 60,055",,Government
"University Business School, Panjab University - [UBS]","Chandigarh, Chandigarh",MBA/PGDM,"₹ 23,945","₹ 24,00,000",Government
Kalpana Chawla Government Medical College - [KCGMC],"Karnal, Haryana",MBBS,"₹ 80,000",,Government
Dronacharya College of Engineering - [DCE],"Gurgaon, Haryana",BE/B.Tech,"₹ 1,41,100",,Private
University Institute of Engineering and Technology - [UIET],"Kurukshetra, Haryana",BE/B.Tech,"₹ 1,10,000","₹ 11,40,000",Government
K.R. Mangalam University,"Gurgaon, Haryana",M.Phil/Ph.D in Management,"₹ 1,20,000","₹ 56,60,000",Private
Chandigarh College of Engineering and Technology - [CCET],"Chandigarh, Chandigarh",BE/B.Tech,"₹ 75,998","₹ 6,73,000",Government
IBMR Business School,"Gurgaon, Haryana",MBA/PGDM,"₹ 4,57,500","₹ 15,00,000",Private
"J.C. Bose University Of Science And Technology, YMCA","Faridabad, Haryana",BE/B.Tech,"₹ 1,12,866","₹ 47,00,000",Government
BPS Govt. Medical College for Women,"Sonepat, Haryana",MBBS,"₹ 1,03,050",,Government
National Institute of Technical Teachers Training and Research - [NITTTR],"Chandigarh, Chandigarh",ME/M.Tech,"₹ 75,500",,Government
Government Industrial Training Institute - [GITI],"Chandigarh, Chandigarh",Certificate in Engineering,,,Government
Indo Swiss Training Centre - [ISTC],"Chandigarh, Chandigarh",Graduate Diploma in Engineering,"₹ 20,000","₹ 9,00,000",Government
DAV Centenary College,"Faridabad, Haryana",B.Com,"₹ 31,269",,Private
"Manav Rachna University, Faculty of Engineering","Faridabad, Haryana",BE/B.Tech,"₹ 52,40,000","₹ 34,00,000",Private
"University Institute of Engineering and Technology, Maharshi Dayanand University - [UIET]","Rohtak, Haryana",BE/B.Tech,"₹ 87,092",,Government
Central University of Haryana - [CUH],"Mahendragarh, Haryana",B.Sc,"₹ 18,616",,Government
IILM Institute for Business & Management [IILM-IBM],"Gurgaon, Haryana",BBA/BMS,"₹ 3,40,000","₹ 10,00,000",Private
Chaudhary Charan Singh Haryana Agricultural University - [CCSHAU],"Hisar, Haryana",M.Phil/Ph.D in Science,"₹ 25,225",,Government
IITT Institutions,"Chandigarh, Chandigarh",BE/B.Tech,"₹ 1,00,200",,Private
ICL Institute of Engineering and Technology,"Ambala, Haryana",BE/B.Tech,"₹ 85,000",,Private
IIT Mandi- Indian Institute of Technology - [IITM],"Mandi, Himachal Pradesh",BE/B.Tech,"₹ 2,19,000","₹ 65,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Bilaspur, Himachal Pradesh",MBBS,"₹ 1,628",,Government
IIM Sirmaur,"Sirmaur, Himachal Pradesh",BBA/BMS,"₹ 22,93,000","₹ 64,12,000",Government
Indira Gandhi Medical College - [IGMC],"Shimla, Himachal Pradesh",MBBS,"₹ 60,000",,Government
School of Management - IIT Mandi - [SOMIIT],"Mandi, Himachal Pradesh",MBA/PGDM,"₹ 4,07,000",,Government
National Institute of Technology - [NIT],"Hamirpur, Himachal Pradesh",BE/B.Tech,"₹ 1,80,200","₹ 58,00,000",Government
Indian Institute of Information Technology - [IIIT],"Una, Himachal Pradesh",BE/B.Tech,"₹ 2,75,000","₹ 30,00,000",Government
Dr Rajendra Prasad Government Medical College - [RPGMC],"Kangra, Himachal Pradesh",MBBS,"₹ 60,000",,Government
Shoolini University,"Solan, Himachal Pradesh",BE/B.Tech,"₹ 2,60,000","₹ 42,00,000",Private
Shri Lal Bahadur Shastri Government Medical College & Hospital - [SLBS MC],"Mandi, Himachal Pradesh",MBBS,"₹ 60,000",,Government
Dr. Y. S. Parmar Medical College Nahan,"Sirmaur, Himachal Pradesh",MBBS,"₹ 60,000",,Government
Pt. Jawahar Lal Nehru Government Medical College and Hospital - [GMCH],"Chamba, Himachal Pradesh",MBBS,"₹ 60,000",,Government
Dr. Radhakrishnan Govt. Medical College,"Hamirpur, Himachal Pradesh",MBBS,"₹ 60,000",,Government
Himachal Pradesh University - [HPU],"Shimla, Himachal Pradesh",MA,"₹ 3,234",,Government
Abhilashi University - [AU],"Mandi, Himachal Pradesh",Diploma in Pharmacy,"₹ 2,10,000","₹ 4,00,000",Private
Arni University,"Kangra, Himachal Pradesh",B.Sc,"₹ 30,000",,Private
Maharaja Agrasen University - [MAU],"Solan, Himachal Pradesh",BE/B.Tech,"₹ 1,33,800",,Private
Eternal University - [EU],"Sirmaur, Himachal Pradesh",B.Sc,"₹ 53,300","₹ 3,00,000",Private
Manav Bharti University - [MBU],"Solan, Himachal Pradesh",BA,"₹ 25,000",,Private
Jawaharlal Nehru Government Engineering College - [JNGEC],"Sundarnagar, Himachal Pradesh",BE/B.Tech,"₹ 60,000",,Government
Career Point University - [CPU],"Hamirpur, Himachal Pradesh",B.Sc,"₹ 48,000","₹ 66,00,000",Private
Maharishi Markandeshwar - [MMU],"Solan, Himachal Pradesh",MBBS,"₹ 8,62,000",,Private
Atal Medical and Research University - [AMRU],"Mandi, Himachal Pradesh",MBBS,"₹ 60,000",,Government
St Bede's College,"Shimla, Himachal Pradesh",BA,"₹ 26,988",,Private
APG Shimla University,"Shimla, Himachal Pradesh",BA/BBA LLB,"₹ 84,000","₹ 25,70,000",Private
KC Group of Institutions,"Una, Himachal Pradesh",BE/B.Tech,"₹ 2,74,000",,Private
Chitkara University,"Solan, Himachal Pradesh",BE/B.Tech,"₹ 1,80,000","₹ 1,11,00,000",Private
Institute of Hotel Management Catering and Nutrition - [IHM],"Shimla, Himachal Pradesh",BHM,"₹ 1,29,415",,Government
Bhojia Dental College and Hospital,"Baddi, Himachal Pradesh",BDS,"₹ 2,02,387",,Private
Indus International University - [IIU],"Una, Himachal Pradesh",M.Sc,"₹ 62,000",,Private
LR Institute of Engineering and Technology,"Solan, Himachal Pradesh",BE/B.Tech,"₹ 2,96,000",,Private
"Faculty of Pharmaceutical Sciences, Shoolini University","Solan, Himachal Pradesh",B.Pharm,"₹ 1,83,500",,Private
Himachal Institute of Engineering and Technology - [HIET],"Kangra, Himachal Pradesh",BE/B.Tech,"₹ 73,000",,Private
"Faculty of Engineering and Technology, Shoolini University","Solan, Himachal Pradesh",BE/B.Tech,"₹ 2,60,000","₹ 42,00,000",Private
Dr YS Parmar University of Horticulture and Forestry - [YSPUHF],"Solan, Himachal Pradesh",B.Sc (Agriculture),"₹ 68,500",,Government
Maharana Pratap Government College - [MPGC],"Una, Himachal Pradesh",MA,₹ 725,,Government
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya - [CSK HPKV],"Palampur, Himachal Pradesh",B.Sc (Agriculture),"₹ 43,818",,Government
Himalayan Institute of Management,"Sirmaur, Himachal Pradesh",MBA/PGDM,"₹ 72,000",,Private
Jaypee University of Information Technology - [JUIT],"Solan, Himachal Pradesh",BE/B.Tech,"₹ 3,66,000","₹ 50,00,000",Private
Himalayan Group of Professional Institutions,"Sirmaur, Himachal Pradesh",BE/B.Tech,"₹ 92,570","₹ 20,00,000",Private
Bahra University - [BU],"Solan, Himachal Pradesh",BE/B.Tech,"₹ 1,65,000","₹ 1,25,00,000",Private
Baddi University of Emerging Sciences and Technologies - [BUEST],"Baddi, Himachal Pradesh",BE/B.Tech,"₹ 1,40,000","₹ 1,50,00,000",Private
"University Institute of Information Technology, Himachal Pradesh University - [UIIT]","Shimla, Himachal Pradesh",BE/B.Tech,"₹ 1,22,010","₹ 8,00,000",Government
ICFAI University,"Baddi, Himachal Pradesh",B.Sc,"₹ 36,800",,Private
Rajiv Gandhi govt. Engineering college -[RGGEC],"Kangra, Himachal Pradesh",BE/B.Tech,"₹ 56,870",,Government
Govt College of Teacher Education - [GCTE],"Kangra, Himachal Pradesh",B.Ed,"₹ 10,000",,Government
Central University of Himachal Pradesh - [CUHP],"Kangra, Himachal Pradesh",MSW,"₹ 23,600",,Government
Himachal Pradesh University Business School - [HPUBS],"Shimla, Himachal Pradesh",BBA/BMS,"₹ 25,000",,Government
Heritage Institute of Hotel and Tourism - [HIHT],"Shimla, Himachal Pradesh",BHM,"₹ 3,30,000",,Private
LR Group of Institutes,"Solan, Himachal Pradesh",BE/B.Tech,"₹ 85,820","₹ 8,00,000",Private
IIT Roorkee - Indian Institute of Technology - [IITR],"Roorkee, Uttarakhand",BE/B.Tech,"₹ 2,24,100","₹ 1,30,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Rishikesh, Uttarakhand",MBBS,"₹ 5,356","₹ 24,10,000",Government
Indian Institute of Management - [IIM],"Kashipur, Uttarakhand",MBA/PGDM,"₹ 10,17,000","₹ 29,86,000",Government
"Department of Management Studies, Indian Institute of Technology - [DOMS]","Roorkee, Uttarakhand",Executive MBA,"₹ 5,96,250","₹ 24,00,000",Government
National Institute of Technology - [NIT] Uttarakhand,"Srinagar Garhwal, Uttarakhand",BE/B.Tech,"₹ 1,62,043","₹ 12,50,000",Government
IMS Unison University - [IUU],"Dehradun, Uttarakhand",BA/BBA LLB,"₹ 1,22,000","₹ 41,62,000",Private
Roorkee Institute of Technology - [RIT],"Roorkee, Uttarakhand",BE/B.Tech,"₹ 1,09,900","₹ 18,00,000",Private
"UPES, School of Business","Dehradun, Uttarakhand",MBA/PGDM,"₹ 8,42,000","₹ 29,00,000",Private
Uttaranchal Institute of Technology - [UIT],"Dehradun, Uttarakhand",BE/B.Tech,"₹ 2,93,600",,Private
Government Doon Medical College - [GDMC],"Dehradun, Uttarakhand",MBBS,"₹ 1,65,500",,Government
"Graphic Era University, School of Engineering and Technology - [GEU]","Dehradun, Uttarakhand",BE/B.Tech,"₹ 3,22,900","₹ 61,99,000",Private
DIT University - [DIT],"Dehradun, Uttarakhand",BE/B.Tech,"₹ 2,40,300","₹ 58,00,000",Private
Uttaranchal University,"Dehradun, Uttarakhand",B.Sc,"₹ 1,41,980","₹ 1,50,00,000",Private
Tula's Institute,"Dehradun, Uttarakhand",BE/B.Tech,"₹ 1,86,000","₹ 36,50,000",Private
Government Medical College,"Haldwani, Uttarakhand",MBBS,"₹ 1,67,000",,Government
Graphic Era University - [GEU],"Dehradun, Uttarakhand",BE/B.Tech,"₹ 3,23,400","₹ 61,99,000",Private
Shivalik College of Engineering - [SCE],"Dehradun, Uttarakhand",BE/B.Tech,"₹ 1,43,900","₹ 42,00,000",Private
ICFAI Business School - [IBS],"Dehradun, Uttarakhand",MBA/PGDM,"₹ 7,02,000","₹ 10,70,000",Private
MotherHood University,"Roorkee, Uttarakhand",B.Sc,"₹ 37,000",,Private
Maya Devi University - [MDU],"Dehradun, Uttarakhand",B.Sc,"₹ 66,000","₹ 43,60,000",Private
Maharaja Agrasen Himalayan Garhwal University - [MAHGU],"Garhwal, Uttarakhand",BA,"₹ 20,000",,Private
Veer Chandra Singh Garhwali Government Institute Of Medical Science and Research- [VCSGGMS & RI],"Srinagar, Uttarakhand",MBBS,"₹ 2,25,000",,Government
Quantum University,"Roorkee, Uttarakhand",BE/B.Tech,"₹ 1,72,500","₹ 33,50,000",Private
"UPES, School of Engineering","Dehradun, Uttarakhand",BE/B.Tech,"₹ 2,82,000","₹ 1,30,00,000",Private
Dev Bhoomi Uttarakhand University - [DBUU],"Dehradun, Uttarakhand",BE/B.Tech,"₹ 1,52,400","₹ 40,00,000",Private
Institute of Technology and Management - [ITM],"Dehradun, Uttarakhand",BA,"₹ 43,000","₹ 14,00,000",Private
Shri Guru Ram Rai University - [SGRRU],"Dehradun, Uttarakhand",B.Sc,"₹ 40,050","₹ 12,00,000",Private
Himalayan Institute of Medical Sciences - [HIMS],"Dehradun, Uttarakhand",MBBS,"₹ 23,57,000",,Private
Ras Bihari Bose Subharti University,"Dehradun, Uttarakhand",B.Sc,"₹ 2,40,000",,Private
DAV PG College Dehradun,"Dehradun, Uttarakhand",BA,"₹ 30,000",,Private
DAV PG College Dehradun,"Dehradun, Uttarakhand",BA,"₹ 30,000",,Private
Bhagwant Global University,"Garhwal, Uttarakhand",B.Sc,"₹ 34,750",,Private
Govind Ballabh Pant University of Agriculture and Technology,"Pantnagar, Uttarakhand",BE/B.Tech,"₹ 61,024",,Government
Culinary College of Hotel Management and Catering Technology - [CCHMCT],"Dehradun, Uttarakhand",BHM,"₹ 70,000",,Private
DBS Global University,"Dehradun, Uttarakhand",MBA/PGDM,"₹ 4,67,000","₹ 24,00,000",Private
Graphic Era Hill University - [GEHU],"Dehradun, Uttarakhand",MBA/PGDM,"₹ 4,12,500","₹ 47,88,000",Private
Institute of Hotel Management Catering Technology & Applied Nutrition - [IHM],"Dehradun, Uttarakhand",BHM,"₹ 1,25,915","₹ 2,40,000",Government
Graphic Era Hill University Bhimtal Campus - [GEHU],"Bhimtal, Uttarakhand",BE/B.Tech,"₹ 2,20,500","₹ 47,88,000",Private
Shri Guru Ram Rai Institute of Medical and Health Sciences,"Dehradun, Uttarakhand",MBBS,"₹ 21,85,000",,Private
Law College Dehradun - [LCD],"Dehradun, Uttarakhand",LLB,"₹ 1,64,850",,Private
B.S.M. P.G. College - [BSMPGC],"Roorkee, Uttarakhand",MA,"₹ 5,000",,Private
Dayanand Women's Training College,"Dehradun, Uttarakhand",B.Ed,"₹ 3,046",,Private
Doon Institute of Education,"Dehradun, Uttarakhand",B.Ed,"₹ 55,000",,Private
Directorate of Coldwater Fisheries Research,"Nainital, Uttarakhand",M.Phil/Ph.D in Arts,,,Government
Dolphin PG Institute of BioMedical & Natural Sciences,"Dehradun, Uttarakhand",B.Sc,"₹ 1,08,000",,Private
Forest Research Institute - [FRI],"Dehradun, Uttarakhand",M.Sc,"₹ 43,000",,Government
Wildlife Institute of India - [WII],"Dehradun, Uttarakhand",PG Diploma in Science,"₹ 12,10,000",,Government
Doon Valley College of Education - [DVCE],"Dehradun, Uttarakhand",B.Ed,"₹ 45,000",,Private
Uttaranchal Institute of Management,"Dehradun, Uttarakhand",MBA/PGDM,"₹ 3,14,048",,Private
"College of Technology, GB Pant University of Agriculture & Technology","Pantnagar, Uttarakhand",BE/B.Tech,"₹ 57,164","₹ 6,00,000",Government
National Law University - [NLU],"Jodhpur, Rajasthan",BA/BBA LLB,"₹ 3,00,000",,Government
BITS Pilani (Pilani Campus),"Pilani, Rajasthan",ME/M.Tech,"₹ 6,38,175","₹ 60,75,000",Private
All India Institute of Medical Sciences - [AIIMS],"Jodhpur, Rajasthan",MBBS,"₹ 24,102",,Government
IIT Jodhpur - Indian Institute of Technology - [IITJ],"Jodhpur, Rajasthan",BE/B.Tech,"₹ 2,54,800","₹ 53,00,000",Government
Indian Institute of Management - [IIMU],"Udaipur, Rajasthan",MBA/PGDM,"₹ 23,17,260","₹ 47,66,000",Government
SMS Medical College - [SMSMC],"Jaipur, Rajasthan",MBBS,"₹ 1,25,300",,Government
Manipal University - [MUJ],"Jaipur, Rajasthan",BE/B.Tech,"₹ 3,50,000","₹ 88,00,000",Private
Malaviya National Institute of Technology - [MNIT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 3,45,187","₹ 64,00,000",Government
"Department of Management, BITS","Pilani, Rajasthan",MBA/PGDM,"₹ 6,38,175","₹ 27,00,000",Private
RUHS College of Medical Sciences,"Jaipur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Sardar Patel Medical College - [SPMC],"Bikaner, Rajasthan",MBBS,"₹ 1,25,300",,Government
Banasthali Vidyapith,"Jaipur, Rajasthan",B.Sc,"₹ 89,000","₹ 5,20,000",Private
Dr SN Medical College & Hospital,"Jodhpur, Rajasthan",MBBS,"₹ 1,25,300",,Government
The LNM Institute of Information Technology - [LNMIIT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 5,31,400","₹ 1,24,00,000",Private
SS Jain Subodh PG College,"Jaipur, Rajasthan",B.Sc,"₹ 25,500",,Private
Indian Institute of Information Technology - [IIIT-K],"Kota, Rajasthan",BE/B.Tech,"₹ 2,46,425","₹ 65,00,000",Government
RNT Medical College,"Udaipur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Jawaharlal Nehru Medical College - [JLN],"Ajmer, Rajasthan",MBBS,"₹ 1,25,265",,Government
Vivekananda Global University - [VGU],"Jaipur, Rajasthan",BE/B.Tech,"₹ 1,85,000","₹ 46,00,000",Private
"Department of Management Studies, MNIT - [DMS MNIT]","Jaipur, Rajasthan",MBA/PGDM,"₹ 1,71,287","₹ 16,00,000",Government
Rajasthan University of Health Sciences - [RUHS],"Jaipur, Rajasthan",Bachelor of Physiotherapy(BPT),"₹ 85,000",,Government
Government Medical College,"Kota, Rajasthan",MBBS,"₹ 1,19,300",,Government
IIHMR University,"Jaipur, Rajasthan",MBA/PGDM,"₹ 12,50,000","₹ 35,60,000",Private
Biyani Group of Colleges,"Jaipur, Rajasthan",B.Sc,"₹ 75,000","₹ 18,00,000",Private
Mahatma Gandhi Medical College and Hospital,"Jaipur, Rajasthan",MBBS,"₹ 22,50,000",,Private
Jhalawar Hospital & Medical College,"Jhalawar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Jai Narain Vyas University - [JNVU],"Jodhpur, Rajasthan",BA,"₹ 2,570",,Government
Government Medical College,"Pali, Rajasthan",MBBS,"₹ 1,25,246",,Government
St Wilfred's PG College,"Jaipur, Rajasthan",B.Sc,"₹ 54,500",,Private
NIMS University,"Jaipur, Rajasthan",MBBS,"₹ 25,80,000","₹ 6,00,000",Private
Government Medical College - [GMC],"Bharatpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Barmer, Rajasthan",MBBS,"₹ 5,09,362",,Government
Government Medical College - [GMC],"Dungarpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Taxila Business School - [TBS],"Jaipur, Rajasthan",MBA/PGDM,"₹ 9,60,000","₹ 25,80,000",Private
Government Medical College,"Bhilwara, Rajasthan",MBBS,"₹ 70,340",,Government
Mody University,"Sikar, Rajasthan",BE/B.Tech,"₹ 2,29,000","₹ 32,88,000",Private
"Sangam University, School of Management Studies","Bhilwara, Rajasthan",MBA/PGDM,"₹ 1,38,500",,Private
Government Medical College,"Churu, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Sriganganagar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Alwar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Alwar, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Chittorgarh, Rajasthan",MBBS,"₹ 1,25,246",,Government
UNIRAJ- University of Rajasthan,"Jaipur, Rajasthan",BA,"₹ 2,320",,Government
Government Medical College,"Dausa, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Sirohi, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Bundi, Rajasthan",MBBS,"₹ 1,25,246",,Government
VGU Faculty of Engineering & Technology - [FENT],"Jaipur, Rajasthan",BE/B.Tech,"₹ 2,10,000","₹ 54,00,000",Private
Government Medical College,"Dholpur, Rajasthan",MBBS,"₹ 1,25,246",,Government
Government Medical College,"Karauli, Rajasthan",MBBS,"₹ 1,25,246",,Government
Ananta Institute of Hotel Management & Allied studies - [AIHMAS],"Jaipur, Rajasthan",BHM,"₹ 4,40,000",,Private
IIT Patna - Indian Institute of Technology - [IITP],"Patna, Bihar",BE/B.Tech,"₹ 2,73,250","₹ 1,62,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"Patna, Bihar",MBBS,"₹ 5,856",,Government
National Institute of Technology - [NITP],"Patna, Bihar",BE/B.Tech,"₹ 1,88,500","₹ 41,37,000",Government
Indian Institute of Management - [IIMBG],"Gaya, Bihar",MBA/PGDM,"₹ 8,00,000","₹ 22,00,000",Government
Indian Institute of Information Technology - [IIIT],"Bhagalpur, Bihar",BE/B.Tech,"₹ 2,94,738","₹ 83,00,000",Government
Patna Medical College & Hospital - [PMCH],"Patna, Bihar",MBBS,"₹ 9,500",,Government
Ambedkar Institute of Higher Education - [AIHE],"Patna, Bihar",B.Sc (Nursing),"₹ 7,00,575",,Private
Vardhman Institute of Medical Sciences - [VIMS],"Nalanda, Bihar",MBBS,"₹ 29,800",,Government
Institute of Hotel Management - [IHM],"Hajipur, Bihar",BHM,"₹ 1,30,725",,Government
Institute of Hotel Management - [IHM],"Gaya, Bihar",BHM,"₹ 1,22,500",,Government
Indira Gandhi Institute of Medical Sciences - [IGIMS],"Patna, Bihar",MBBS,"₹ 70,000",,Government
Birla Institute of Technology - [BIT],"Patna, Bihar",BE/B.Tech,"₹ 4,34,000","₹ 34,40,000",Private
Nalanda Medical College - [NMCH],"Patna, Bihar",MBBS,"₹ 27,600",,Government
Muzaffarpur Institute of Technology - [MIT],"Muzaffarpur, Bihar",BE/B.Tech,"₹ 5,530","₹ 9,00,000",Government
Darbhanga Medical College,"Darbhanga, Bihar",MBBS,"₹ 1,02,150",,Government
Bhagalpur College of Engineering - [BCE],"Bhagalpur, Bihar",BE/B.Tech,"₹ 1,12,500","₹ 13,00,000",Government
Bakhtiyarpur College of Engineering - [BCE],"Patna, Bihar",BE/B.Tech,,,Government
Jawaharlal Nehru Medical College - [JLNMC],"Bhagalpur, Bihar",MBBS,"₹ 40,800",,Government
Shri Krishna Medical College - [SKMC],"Muzaffarpur, Bihar",MBBS,"₹ 49,800",,Government
Chandragupt Institute of Management - [CIMP],"Patna, Bihar",MBA/PGDM,"₹ 3,85,000","₹ 16,42,000",Private
ESIC Medical College,"Bihta, Bihar",MBBS,"₹ 1,11,200",,Government
Anugrah Narayan Magadh Medical College and Hospital - [ANMMCH],"Gaya, Bihar",MBBS,"₹ 27,000",,Government
Government Medical College - [GMC],"Bettiah, Bihar",MBBS,"₹ 58,500",,Government
Amity University,"Patna, Bihar",B.Sc,"₹ 1,16,000","₹ 50,00,000",Private
"Government Medical College and Hospital , Purnea","Purnea, Bihar",MBBS,,,Government
Gaya College of Engineering,"Gaya, Bihar",BE/B.Tech,"₹ 70,630","₹ 7,50,000",Government
Darbhanga College of Engineering - [DCE],"Darbhanga, Bihar",BE/B.Tech,"₹ 29,130","₹ 17,39,000",Government
Aryabhatta Knowledge University - [AKU],"Patna, Bihar",Bachelor of Physiotherapy(BPT),"₹ 1,00,000",,Government
Gopal Narayan Singh University - [GNSU],"Sasaram, Bihar",Bachelor of Physiotherapy(BPT),"₹ 1,19,500",,Private
Mata Gujri University,"Kishanganj, Bihar",B.Pharm,"₹ 1,21,000",,Private
Katihar Medical College - [KMC],"Katihar, Bihar",MBBS,"₹ 14,05,000",,Private
